op_index,op_name,op_kind,op_time,analysis,flops,memory_bytes_total,arithmetic_intensity,input_shape,output_shape
0,aten.embedding.default,builtin,9.5424512e-05,memory_bound,0.0,763396096,0.0,"[102400, 7168]","[1, 4096, 7168]"
1,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
2,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
3,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
4,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
5,aten.bmm.default,builtin,0.000124780544,memory_bound,240518168576.0,998244352,240.94117647058823,"[56, 4096, 128]","[56, 4096, 4096]"
6,aten.div.Tensor,builtin,0.000234881024,memory_bound,939524096.0,1879048192,0.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
7,aten._softmax.default,builtin,0.000234881024,memory_bound,4697620480.0,1879048192,2.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
8,aten.bmm.default,builtin,0.000124780544,memory_bound,240518168576.0,998244352,240.94117647058823,"[56, 4096, 4096]","[56, 4096, 128]"
9,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
10,aten.add.Tensor,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 7168]","[1, 4096, 7168]"
11,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
12,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,55314688,7609.313370944079,[18432],"[4096, 18432]"
13,aten.gelu.default,builtin,1.8874368e-05,memory_bound,603979776.0,150994944,4.0,"[1, 4096, 18432]","[1, 4096, 18432]"
14,custom.fc2.default,custom,1.35291469824e-05,compute_bound,135291469824.0,55319552,2445.6356736945377,"[1, 4096, 18432]","[1, 4096, 7168]"
15,aten.add.Tensor,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 7168]","[1, 4096, 7168]"
16,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
