op_index,op_name,op_kind,op_time,analysis,flops,memory_bytes_total,arithmetic_intensity,input_shape,output_shape
0,aten.embedding.default,builtin,9.1751297e-05,memory_bound,0.0,734010376,0.0,"[102400, 7168]","[1, 1, 7168]"
1,aten.native_layer_norm.default,builtin,3.584e-09,memory_bound,50176.0,28672,1.75,"[1, 1, 7168]","[1, 1, 7168]"
2,aten.addmm.default,builtin,1.72528e-07,memory_bound,1605632.0,1380224,1.163312621719373,[1536],"[1, 1536]"
3,aten.addmm.default,builtin,8.632e-08,memory_bound,4718592.0,690560,6.832993512511584,[3584],"[1, 3584]"
4,aten.bmm.default,builtin,2.33408e-07,memory_bound,3670016.0,1867264,1.965451055662188,"[56, 1, 64]","[56, 1, 512]"
5,aten.addmm.default,builtin,8.632e-08,memory_bound,4718592.0,690560,6.832993512511584,[3584],"[1, 3584]"
6,aten.arange.start,builtin,1.25e-13,memory_bound,0.0,1,0.0,,[1]
7,aten.arange.start_step,builtin,4e-12,memory_bound,0.0,32,0.0,,[32]
8,aten.div.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
9,aten.pow.Tensor_Tensor,builtin,8e-12,memory_bound,128.0,64,2.0,[],[32]
10,aten.reciprocal.default,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
11,aten.mul.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
12,aten.mul.Tensor,builtin,8.125e-12,memory_bound,32.0,65,0.49230769230769234,"[1, 1]","[1, 32]"
13,aten.cat.default,builtin,1.6e-11,memory_bound,0.0,128,0.0,"[1, 32]","[1, 64]"
14,aten.cos.default,builtin,1.6e-11,memory_bound,256.0,128,2.0,"[1, 64]","[1, 64]"
15,aten.unsqueeze.default,builtin,1.6e-11,memory_bound,0.0,128,0.0,"[1, 64]","[1, 1, 64]"
16,aten.unsqueeze.default,builtin,1.6e-11,memory_bound,0.0,128,0.0,"[1, 1, 64]","[1, 1, 1, 64]"
17,aten.sin.default,builtin,1.6e-11,memory_bound,256.0,128,2.0,"[1, 64]","[1, 64]"
18,aten.unsqueeze.default,builtin,1.6e-11,memory_bound,0.0,128,0.0,"[1, 64]","[1, 1, 64]"
19,aten.unsqueeze.default,builtin,1.6e-11,memory_bound,0.0,128,0.0,"[1, 1, 64]","[1, 1, 1, 64]"
