op_index,op_name,op_kind,op_time,analysis,flops,memory_bytes_total,arithmetic_intensity,input_shape,output_shape
0,aten.embedding.default,builtin,9.5424512e-05,memory_bound,0.0,763396096,0.0,"[102400, 7168]","[1, 4096, 7168]"
1,aten.native_layer_norm.default,builtin,7.341824e-06,memory_bound,205520896.0,58734592,3.4991457163778374,"[1, 4096, 7168]","[1, 4096, 7168]"
2,aten.addmm.default,builtin,1.417408e-06,memory_bound,6576668672.0,11339264,579.9907888201562,[1536],"[4096, 1536]"
3,aten.addmm.default,builtin,1.9327352832e-06,compute_bound,19327352832.0,8815040,2192.5428395106546,[3584],"[4096, 3584]"
4,aten.addmm.default,builtin,1.9327352832e-06,compute_bound,19327352832.0,8815040,2192.5428395106546,[3584],"[4096, 3584]"
5,aten.arange.start,builtin,5.12e-10,memory_bound,0.0,4096,0.0,,[4096]
6,aten.arange.start_step,builtin,4e-12,memory_bound,0.0,32,0.0,,[32]
7,aten.div.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
8,aten.pow.Tensor_Tensor,builtin,8e-12,memory_bound,128.0,64,2.0,[],[32]
9,aten.reciprocal.default,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
10,aten.mul.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
11,aten.mul.Tensor,builtin,1.69e-08,memory_bound,131072.0,135200,0.9694674556213018,"[4096, 1]","[4096, 32]"
12,aten.cat.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 32]","[4096, 64]"
13,aten.cos.default,builtin,6.5536e-08,memory_bound,1048576.0,524288,2.0,"[4096, 64]","[4096, 64]"
14,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 64]","[1, 4096, 64]"
15,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[1, 4096, 64]","[1, 1, 4096, 64]"
16,aten.sin.default,builtin,6.5536e-08,memory_bound,1048576.0,524288,2.0,"[4096, 64]","[4096, 64]"
17,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 64]","[1, 4096, 64]"
18,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[1, 4096, 64]","[1, 1, 4096, 64]"
19,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
20,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
21,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
22,aten.neg.default,builtin,1.835008e-06,memory_bound,7340032.0,14680064,0.5,"[1, 56, 4096, 32]","[1, 56, 4096, 32]"
23,aten.stack.default,builtin,3.670016e-06,memory_bound,0.0,29360128,0.0,"[1, 56, 4096, 32]","[1, 56, 4096, 32, 2]"
24,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
25,aten.add.Tensor,builtin,5.505024e-06,memory_bound,14680064.0,44040192,0.3333333333333333,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
26,aten.addmm.default,builtin,7.78304e-07,memory_bound,6576668672.0,6226432,1056.24997944248,[512],"[4096, 512]"
27,aten.addmm.default,builtin,5.20248e-07,memory_bound,2147483648.0,4161984,515.9759499315711,[3584],"[4096, 3584]"
28,aten.addmm.default,builtin,7.78352e-07,memory_bound,2147483648.0,6226816,344.8766830431476,[7168],"[4096, 7168]"
29,aten.addmm.default,builtin,6.576668672e-07,compute_bound,6576668672.0,3989568,1648.4663682884964,[64],"[4096, 64]"
30,aten.arange.start,builtin,5.12e-10,memory_bound,0.0,4096,0.0,,[4096]
31,aten.arange.start_step,builtin,4e-12,memory_bound,0.0,32,0.0,,[32]
32,aten.div.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
33,aten.pow.Tensor_Tensor,builtin,8e-12,memory_bound,128.0,64,2.0,[],[32]
34,aten.reciprocal.default,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
35,aten.mul.Tensor,builtin,8e-12,memory_bound,32.0,64,0.5,[32],[32]
36,aten.mul.Tensor,builtin,1.69e-08,memory_bound,131072.0,135200,0.9694674556213018,"[4096, 1]","[4096, 32]"
37,aten.cat.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 32]","[4096, 64]"
38,aten.cos.default,builtin,6.5536e-08,memory_bound,1048576.0,524288,2.0,"[4096, 64]","[4096, 64]"
39,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 64]","[1, 4096, 64]"
40,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[1, 4096, 64]","[1, 1, 4096, 64]"
41,aten.sin.default,builtin,6.5536e-08,memory_bound,1048576.0,524288,2.0,"[4096, 64]","[4096, 64]"
42,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[4096, 64]","[1, 4096, 64]"
43,aten.unsqueeze.default,builtin,6.5536e-08,memory_bound,0.0,524288,0.0,"[1, 4096, 64]","[1, 1, 4096, 64]"
44,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
45,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
46,aten.slice.Tensor,builtin,2.752512e-06,memory_bound,0.0,22020096,0.0,"[1, 56, 4096, 64]","[1, 56, 4096, 32]"
47,aten.neg.default,builtin,1.835008e-06,memory_bound,7340032.0,14680064,0.5,"[1, 56, 4096, 32]","[1, 56, 4096, 32]"
48,aten.stack.default,builtin,3.670016e-06,memory_bound,0.0,29360128,0.0,"[1, 56, 4096, 32]","[1, 56, 4096, 32, 2]"
49,aten.mul.Tensor,builtin,3.702784e-06,memory_bound,14680064.0,29622272,0.49557522123893805,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
50,aten.add.Tensor,builtin,5.505024e-06,memory_bound,14680064.0,44040192,0.3333333333333333,"[1, 56, 4096, 64]","[1, 56, 4096, 64]"
51,aten.bmm.default,builtin,0.000121110528,memory_bound,120259084288.0,968884224,124.12121212121212,"[56, 4096, 64]","[56, 4096, 4096]"
52,aten.bmm.default,builtin,0.000121110528,memory_bound,120259084288.0,968884224,124.12121212121212,"[56, 4096, 64]","[56, 4096, 4096]"
53,aten.add.Tensor,builtin,0.000352321536,memory_bound,939524096.0,2818572288,0.3333333333333333,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
54,aten.div.Tensor,builtin,0.000234881024,memory_bound,939524096.0,1879048192,0.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
55,aten._softmax.default,builtin,0.000234881024,memory_bound,4697620480.0,1879048192,2.5,"[1, 56, 4096, 4096]","[1, 56, 4096, 4096]"
56,aten.bmm.default,builtin,0.000124780544,memory_bound,240518168576.0,998244352,240.94117647058823,"[56, 4096, 4096]","[56, 4096, 128]"
57,aten.addmm.default,builtin,4.20906795008e-05,compute_bound,420906795008.0,39453568,10668.408875161811,[7168],"[4096, 7168]"
58,aten.add.Tensor,builtin,1.1010048e-05,memory_bound,29360128.0,88080384,0.3333333333333333,"[1, 4096, 7168]","[1, 4096, 7168]"
